angle,speed,speedY,speedZ,trackPos,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,rpm,gear,steer,accel,brake
0.131221,121.442,-0.515456,3.28256,-0.558634,17.3083,23.5718,51.7152,200.0,41.5136,26.2232,19.7227,16.0085,14.0268,13.1657,12.3818,11.0191,9.39462,7.80197,6.41805,5.15401,4.24754,3.6618,3.30952,8077.92,5,1.0,4.1019306888331365e-15,0.48400402069091797
0.13325,120.534,-0.363335,3.24464,-0.57539,17.5906,24.1055,51.5534,200.0,41.2049,25.6108,19.146,15.4837,13.5412,12.6998,11.9354,10.6099,9.03549,7.49735,6.16468,4.94987,4.0798,3.51793,3.18014,7806.53,5,1.0,3.0397030920982504e-15,0.4776401996612549
0.13091,119.214,-0.552453,3.18269,-0.592003,17.7242,24.2623,49.675,200.0,42.2607,25.486,18.9125,15.223,13.2745,12.433,11.6701,10.3507,8.79056,7.27416,5.96706,4.78104,3.93466,3.38934,3.06191,7687.7,5,1.0,6.126237619410654e-15,0.47678136825561523
0.124994,117.774,-1.08475,3.12031,-0.608322,17.7318,24.0975,46.8664,200.0,44.8673,25.8223,18.971,15.1843,13.1902,12.3312,11.5541,10.2142,8.63798,7.11637,5.81413,4.64063,3.80799,3.27354,2.95327,7562.02,5,1.0,2.05513964136525e-14,0.4803024768829346
0.116996,116.21,-1.87127,3.06373,-0.624313,17.6673,23.7674,43.9523,200.0,49.2113,26.534,19.2184,15.2875,13.2208,12.3328,11.5308,10.1526,8.54075,6.99688,5.68707,4.51668,3.69223,3.16554,2.85068,7424.49,5,1.0,4.777923458894502e-14,0.4723888397216797
0.108222,114.583,-2.7686,2.98741,-0.639983,17.5777,23.3978,41.3613,194.374,55.7174,27.5406,19.5595,15.4596,13.3056,12.382,11.5494,10.1236,8.46624,6.89243,5.56979,4.39904,3.58093,3.06103,2.75108,7281.99,5,1.0,9.466850589036346e-14,0.4584958076477051
0.0996934,112.947,-3.62565,2.90189,-0.655357,17.4969,23.0662,39.2435,140.56,65.1731,28.759,19.9092,15.6356,13.391,12.4304,11.5662,10.091,8.38724,6.78378,5.44942,4.27981,3.4691,2.95668,2.65205,7164.65,5,1.0,1.1982255248774164e-12,0.4675580978393555
0.0924837,111.318,-4.32382,2.81375,-0.670456,17.4568,22.8345,37.67,113.863,78.4945,30.0219,20.1631,15.7355,13.4116,12.4192,11.5281,10.0123,8.27269,6.64987,5.31244,4.15082,3.3518,2.84925,2.55125,7043.89,5,1.0,1.4186768773627455e-11,0.48455634117126467
0.0872258,109.666,-4.80193,2.73974,-0.685265,17.4733,22.7252,36.6045,98.9867,96.9551,31.1455,20.2536,15.7031,13.322,12.3078,11.3992,9.85909,8.10292,6.47844,5.15131,4.008,3.22667,2.73729,2.44776,6918.41,5,1.0,6.684303249793188e-11,0.49174413681030277
0.0843031,107.991,-5.03832,2.67858,-0.699811,17.5559,22.7465,35.9941,90.4068,121.641,31.9176,20.1388,15.4977,13.09,12.068,11.1546,9.61267,7.86564,6.26217,4.96199,3.84923,3.09254,2.62004,2.34096,6801.58,5,1.0,1.89379287252045e-10,0.49357275962829594
0.0838741,106.314,-5.0464,2.60674,-0.714118,17.7096,22.897,35.7849,85.6775,151.865,32.1383,19.7712,15.0997,12.7013,11.6877,10.7847,9.26674,7.55775,5.99993,4.74436,3.67462,2.94955,2.4976,2.23089,6679.03,5,1.0,3.7316553735955434e-10,0.48730316162109377
0.0854577,104.655,-4.92713,2.49087,-0.728279,17.9231,23.1455,35.8652,83.2173,186.444,31.8084,19.1809,14.5427,12.1849,11.1941,10.3142,8.84213,7.19501,5.70273,4.50535,3.48824,2.79992,2.3712,2.11832,6554.55,5,1.0,5.550900128437064e-10,0.47665076255798344
0.0890273,103.015,-4.62485,2.37362,-0.742334,18.2,23.4907,36.2147,82.5175,200.0,30.863,18.3683,13.8335,11.549,10.5951,9.75153,8.34651,6.78381,5.37506,4.248,3.29171,2.64459,2.2414,2.00354,6479.02,5,1.0,4.955497512337814e-10,0.4663268089294434
