angle,speed,speedY,speedZ,trackPos,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,rpm,gear,steer,accel,brake
0.24463,66.1966,-2.33387,-0.692125,-0.558271,27.3214,22.9776,18.5295,14.4519,11.4141,9.62292,8.42197,7.64853,7.18873,6.97445,6.77005,6.3893,5.88237,5.3104,4.73224,4.11737,3.61368,3.25752,3.03292,7537.5,2,1.0,2.6999547486639127e-08,0.13368169069290162
0.237885,65.4296,-2.4906,-0.680444,-0.576748,27.6603,23.1045,18.5945,14.4457,11.3491,9.52507,8.3054,7.52218,7.05769,6.84156,6.63561,6.25257,5.74391,5.17199,4.59626,3.98678,3.4897,3.13929,2.91861,7525.77,2,1.0,4.909835098487747e-08,0.1465257525444031
0.230802,64.6512,-2.63196,-0.668417,-0.59474,28.0614,23.248,18.6766,14.4547,11.2962,9.43663,8.19647,7.4024,6.93262,6.71438,6.50664,6.1209,5.61001,5.03769,4.46402,3.85964,3.36896,3.02416,2.80733,7252.37,2,1.0,4.677541767250659e-08,0.1617573380470276
0.223396,63.8166,-2.77563,-0.657687,-0.612223,28.5329,23.4084,18.7761,14.4796,11.2559,9.35819,8.09563,7.28954,6.81385,6.59321,6.38343,5.99453,5.4809,4.90769,4.3357,3.73609,3.2516,2.91228,2.69922,7126.03,2,1.0,6.678374830926259e-08,0.17217162847518921
0.215733,62.9443,-2.91811,-0.647945,-0.629182,29.0819,23.5891,18.8916,14.5194,11.2278,9.28931,8.00243,7.18321,6.70097,6.47767,6.2656,5.87313,5.35628,4.78174,4.21109,3.61601,3.13755,2.80362,2.59427,7009.43,2,1.0,1.0310144489267258e-07,0.18167437314987184
0.207892,62.042,-3.05129,-0.638024,-0.645607,29.7158,23.8067,19.0211,14.5725,11.2107,9.22909,7.91609,7.08266,6.59333,6.36712,6.15253,5.75612,5.23563,4.65942,4.08989,3.49916,3.02666,2.69808,2.49244,6892.63,2,1.0,1.6561213271870655e-07,0.1911731243133545
0.199954,61.1128,-3.16908,-0.627416,-0.661477,30.4429,24.0638,19.1624,14.6375,11.2035,9.17673,7.83594,6.98735,6.49039,6.26105,6.04376,5.64309,5.11863,4.54047,3.9719,3.38548,2.91891,2.59568,2.39375,6773.63,2,1.0,2.7407402001244915e-07,0.1993225932121277
0.192005,60.1595,-3.26569,-0.615958,-0.676783,31.2722,24.3613,19.3126,14.7121,11.2047,9.13102,7.761,6.8964,6.39139,6.15874,5.93859,5.5334,5.00472,4.42448,3.85682,3.27475,2.81419,2.49636,2.29818,6654.19,2,1.0,3.8955590753175784e-07,0.20258867740631104
0.184129,59.1892,-3.33334,-0.603778,-0.691511,32.2137,24.6999,19.4691,14.7941,11.2127,9.09078,7.69034,6.80899,6.29559,6.05951,5.83637,5.42649,4.89346,4.3111,3.74443,3.16685,2.71242,2.40008,2.20572,6539.57,2,1.0,5.389684758938528e-07,0.2064685106277466
0.176396,58.2088,-3.3657,-0.591108,-0.705644,33.2803,25.0809,19.6295,14.8818,11.2263,9.05511,7.62335,6.72461,6.20255,5.96293,5.73673,5.32206,4.78462,4.20019,3.63467,3.06179,2.61368,2.30693,2.11645,6425.28,2,1.0,6.993885790507193e-07,0.21151123046875
0.168875,57.22,-3.36004,-0.578171,-0.71917,34.4864,25.5053,19.7912,14.9731,11.2439,9.02288,7.55914,6.64259,6.1117,5.86847,5.63919,5.2197,4.67791,4.09157,3.52744,2.95955,2.51796,2.21694,2.03042,6310.13,2,1.0,8.97340055416862e-07,0.2160677433013916
0.161647,56.2235,-3.3147,-0.565555,-0.732075,35.8472,25.9729,19.951,15.0652,11.2635,8.99264,7.49663,6.56209,6.02228,5.77547,5.54312,5.1189,4.57293,3.985,3.42263,2.86011,2.4253,2.13015,1.94766,6195.65,2,1.0,1.0953716696349147e-06,0.22005860805511476
0.154791,55.2207,-3.2273,-0.553354,-0.744352,37.3795,26.4832,20.1058,15.1554,11.2829,8.96273,7.43458,6.48217,5.93352,5.68321,5.44787,5.01911,4.46933,3.88025,3.32011,2.76342,2.3357,2.04657,1.86822,6082.67,2,1.0,1.2696878116003063e-06,0.22359931468963623
0.148376,54.2134,-3.09577,-0.541731,-0.755993,39.1026,27.0349,20.2526,15.2409,11.3001,8.93163,7.37187,6.40197,5.84476,5.59105,5.35289,4.91992,4.3668,3.77717,3.21984,2.66953,2.24921,1.96629,1.79214,5971.49,2,1.0,1.3906661251894547e-06,0.22707102298736573
0.142471,53.2096,-2.91694,-0.530599,-0.766988,41.0376,27.6258,20.3883,15.319,11.3128,8.89769,7.30732,6.32062,5.75534,5.49843,5.25765,4.82094,4.26512,3.67567,3.12185,2.57849,2.16593,1.88935,1.7195,8002.84,1,1.0,0.00018442178261466322,0.18285431861877444
0.137094,52.253,-2.66345,-0.519371,-0.777319,43.2172,28.2565,20.5191,15.3887,11.3204,8.8606,7.24092,6.23831,5.66548,5.40568,5.16252,4.72254,4.16471,3.5762,3.02655,2.4907,2.08615,1.81603,1.65051,7987.86,1,1.0,0.00018816540541592984,0.19076279401779175
0.131997,51.3269,-2.34563,-0.507434,-0.786949,45.7409,28.9505,20.6649,15.4586,11.3308,8.82736,7.17869,6.16028,5.58,5.31734,5.07184,4.62863,4.06894,3.48149,2.93609,2.40768,2.01099,1.74715,1.58582,7618.32,1,1.0,8.468553860438987e-05,0.19247970581054688
0.12693,50.3661,-2.01359,-0.497464,-0.79586,48.754,29.7385,20.8375,15.538,11.3522,8.80516,7.12676,6.09184,5.50362,5.23787,4.98984,4.54301,3.98092,3.39401,2.85231,2.33072,1.94133,1.68333,1.52592,7463.38,1,1.0,6.359946200973354e-05,0.19122352600097658
0.12175,49.4085,-1.67012,-0.489659,-0.804046,52.4441,30.6499,21.046,15.6322,11.3898,8.7986,7.08912,6.0364,5.43943,5.17019,4.91923,4.46808,3.90264,3.3153,2.77634,2.26059,1.87768,1.62494,1.47105,7335.04,1,1.0,5.1826191338477656e-05,0.19359906911849978
0.116399,48.4599,-1.3173,-0.48258,-0.811497,57.0702,31.7145,21.2974,15.7436,11.4462,8.81029,7.06814,5.99611,5.38932,5.1161,4.86175,4.40537,3.83538,3.24633,2.70892,2.19777,1.82036,1.5722,1.42142,7207.08,1,1.0,4.710436405730434e-05,0.19483618736267092
0.11085,47.5186,-0.958529,-0.475209,-0.818211,63.0226,32.9674,21.5986,15.8734,11.5229,8.84188,7.06547,5.97246,5.35471,5.07694,4.81863,4.35598,3.78008,3.18779,2.65053,2.14259,1.7696,1.52526,1.37711,7081.41,1,1.0,4.312751989345997e-05,0.1931085824966431
0.105077,46.588,-0.59372,-0.466971,-0.824179,70.9431,34.4546,21.9579,16.023,11.6216,8.89522,7.08298,5.96721,5.33718,5.05421,4.79131,4.3212,3.73779,3.14051,2.60177,2.09545,1.72565,1.48431,1.33828,6960.54,1,1.0,4.154976522841025e-05,0.18791859149932863
