angle,speed,speedY,speedZ,trackPos,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,rpm,gear,steer,accel,brake
0.314429,79.7247,-0.788529,-0.82123,-0.563398,24.6611,20.7205,16.4225,12.6326,9.9311,8.39066,7.37816,6.7331,6.35156,6.17412,6.00504,5.69042,5.27175,4.79898,4.3197,3.80751,3.38588,3.08764,2.90101,7313.74,3,1.0,1.80706006256727e-13,0.11686723232269287
0.313682,79.0775,-0.986225,-0.811396,-0.589318,24.5488,20.546,16.1784,12.3352,9.61278,8.07374,7.06987,6.43417,6.05973,5.886,5.72072,5.41379,5.00677,4.54903,4.08709,3.59572,3.19297,2.90898,2.73163,7127.62,3,1.0,1.80614705591782e-13,0.11929190158843994
0.31165,78.3724,-1.24083,-0.802319,-0.615143,24.4768,20.4092,15.9655,12.0599,9.30915,7.76759,6.77016,6.14261,5.77461,5.60431,5.44255,5.14286,4.74685,4.30351,3.85824,3.38697,3.00245,2.73218,2.56373,7054.9,3,1.0,2.664769663610067e-13,0.12363355159759522
0.308821,77.6447,-1.53309,-0.791985,-0.640819,24.4426,20.308,15.7818,11.8045,9.01774,7.46985,6.47688,5.85647,5.49441,5.32732,5.16888,4.87611,4.49073,4.06137,3.63238,3.18076,2.81404,2.55715,2.39732,6981.39,3,1.0,4.389282502997166e-13,0.13005086183547973
0.305341,76.8951,-1.85492,-0.779527,-0.666341,24.4449,20.2411,15.6263,11.5676,8.73659,7.17848,6.18814,5.57403,5.21753,5.0535,4.89827,4.61219,4.23722,3.82165,3.40877,2.97661,2.62748,2.38378,2.23241,6903.93,3,1.0,9.339410646756752e-13,0.13765058517456055
0.300909,76.1209,-2.20027,-0.76524,-0.691663,24.4814,20.2067,15.4973,11.3472,8.46346,6.89126,5.90189,5.29346,4.94229,4.78126,4.62917,4.34973,3.98518,3.58345,3.18676,2.77411,2.44257,2.21199,2.06903,6822.88,3,1.0,2.017687926458844e-12,0.145981502532959
0.295671,75.3203,-2.56089,-0.74898,-0.716738,24.5485,20.2017,15.3925,11.1409,8.19546,6.60538,5.61563,5.01255,4.66669,4.50868,4.35979,4.08714,3.73325,3.34571,2.96557,2.57279,2.25906,2.04171,1.90718,6738.55,3,1.0,3.583461999356885e-12,0.1627366065979004
0.289805,74.4844,-2.93068,-0.731765,-0.741519,24.6416,20.2219,15.3079,10.9449,7.92882,6.31734,5.32635,4.72871,4.38843,4.2336,4.08809,3.82261,3.47995,3.10729,2.74439,2.37213,2.07666,1.8728,1.74685,6643.18,3,1.0,6.5873252165504765e-12,0.18225945234298707
0.283505,73.6011,-3.30641,-0.715781,-0.76598,24.7547,20.2616,15.2388,10.7547,7.65878,6.0228,5.03038,4.43882,4.10473,3.95342,3.81163,3.55399,3.22353,2.86685,2.52227,2.17154,1.89502,1.70508,1.58794,6538.9,3,1.0,1.1752363665573639e-11,0.20213592052459717
0.276983,72.6644,-3.67912,-0.701111,-0.790087,24.8808,20.3142,15.1792,10.5646,7.37978,5.71684,4.72365,4.13954,3.81271,3.66545,3.52793,3.27916,2.96232,2.62318,2.29835,1.97051,1.71388,1.53841,1.43042,6427.93,3,1.0,2.017689019334634e-11,0.2181241512298584
0.270444,71.6758,-4.03586,-0.687379,-0.813821,25.0127,20.3728,15.1226,10.3683,7.08533,5.39375,4.40164,3.82725,3.50928,3.36688,3.23438,2.99595,2.69463,2.37508,2.07186,1.76857,1.53297,1.37265,1.27421,6314.74,3,1.0,3.35195593503812e-11,0.23064303398132324
0.264069,70.6428,-4.36202,-0.673987,-0.837167,25.1438,20.4305,15.0626,10.1594,6.76838,5.04732,4.05958,3.49829,3.19144,3.05498,2.92853,2.70235,2.41899,2.12155,1.84218,1.56541,1.35212,1.20774,1.11929,6201.09,3,1.0,5.58146237561452e-11,0.24187994003295898
0.258011,69.5725,-4.64495,-0.660334,-0.860102,25.2679,20.4816,14.9935,9.93136,6.42116,4.67078,3.69253,3.14909,2.85639,2.72727,2.60823,2.39671,2.13433,1.862,1.60903,1.36097,1.1714,1.04375,0.965752,6086.27,3,1.0,8.927610040121436e-11,0.25194950103759767
0.252409,68.4709,-4.87453,-0.646193,-0.882608,25.3794,20.5199,14.909,9.67693,6.03401,4.25573,3.29477,2.77578,2.50126,2.38131,2.27136,2.07751,1.83974,1.59601,1.3723,1.1553,0.990894,0.880796,0.813704,5971.16,3,1.0,1.360555654250639e-10,0.25977401733398436
0.247403,67.3483,-5.04075,-0.631622,-0.904668,25.4723,20.5393,14.8026,9.38737,5.59405,3.79117,2.85937,2.37408,2.12306,2.01464,1.91593,1.74347,1.53458,1.32342,1.1321,0.948613,0.810833,0.719076,0.663317,7503.7,2,1.0,1.457519616110403e-08,0.2034993886947632
