angle,speed,speedY,speedZ,trackPos,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,rpm,gear,steer,accel,brake
0.172654,66.3814,0.405374,-1.29264,-0.557561,50.4964,42.0107,33.1483,24.7487,18.3361,14.5731,12.1245,10.6069,9.73401,9.33584,8.96154,8.27936,7.4033,6.46123,5.56054,4.65914,3.96151,3.48738,3.19416,5950.54,3,1.0,3.9944130225677553e-10,0.37274448871612553
0.165303,65.4363,0.300447,-1.27268,-0.567546,51.254,42.4596,33.5472,25.0623,18.5474,14.7064,12.2017,10.6495,9.75732,9.35062,8.9685,8.27278,7.38102,6.42479,5.51371,4.60555,3.90544,3.431,3.13797,7436.14,2,1.0,1.547965542414431e-08,0.3124445676803589
0.158311,64.3895,0.1507,-1.2526,-0.577065,52.0337,42.8912,33.9325,25.3672,18.7545,14.8378,12.2784,10.6919,9.78062,9.36551,8.97571,8.26661,7.35935,6.38928,5.46816,4.55362,3.85132,3.37673,3.08402,7426.1,2,1.0,3.0426258845750453e-08,0.323797345161438
0.151917,63.3254,0.0412081,-1.22988,-0.586154,52.7471,43.2893,34.2877,25.6481,18.9443,14.9565,12.3453,10.7264,9.79727,9.37425,8.97723,8.25569,7.33406,6.35136,5.42139,4.50162,3.79794,3.32369,3.03162,7020.79,2,1.0,2.9746785656925567e-08,0.32892291545867924
0.146047,62.207,-0.0414518,-1.20316,-0.594822,53.3852,43.6581,34.6166,25.9081,19.119,15.0642,12.4042,10.7545,9.80845,9.37798,8.97421,8.24096,7.30603,6.31175,5.37398,4.44996,3.74558,3.27208,2.98086,6880.53,2,1.0,4.3431577267938335e-08,0.3344804048538208
0.140641,61.0625,-0.0896206,-1.17096,-0.603076,53.9595,44.0056,34.9222,26.1494,19.2805,15.1626,12.4562,10.7773,9.81518,9.37773,8.96757,8.22337,7.27603,6.27109,5.32643,4.39898,3.69448,3.22208,2.9319,6747.52,2,1.0,6.374130521180632e-08,0.3378627300262451
0.135709,59.9061,-0.102518,-1.13662,-0.610902,54.4741,44.3455,35.2033,26.3709,19.4277,15.2507,12.5008,10.7944,9.81722,9.37321,8.9571,8.20279,7.24405,6.2295,5.27887,4.34886,3.64478,3.1738,2.88486,6618.56,2,1.0,1.0000180310498763e-07,0.33561823368072513
0.131281,58.749,-0.0799374,-1.10296,-0.618317,54.9316,44.6746,35.4571,26.5696,19.5579,15.3262,12.536,10.8043,9.81314,9.36318,8.94165,8.17818,7.20929,6.18643,5.2309,4.29932,3.5963,3.12709,2.83961,6497.46,2,1.0,1.511600032699789e-07,0.33232057094573975
0.12737,57.5997,-0.02215,-1.07138,-0.62534,55.3362,44.9887,35.6821,26.7436,19.6692,15.3875,12.5603,10.8057,9.80202,9.34668,8.92038,8.14884,7.1712,6.14142,5.18221,4.25012,3.54884,3.08181,2.79598,6380.44,2,1.0,2.248686826078483e-07,0.32743659019470217
0.123941,56.4621,0.0675009,-1.04183,-0.631973,55.6918,45.2859,35.8787,26.8932,19.7617,15.4344,12.5739,10.7988,9.78399,9.32389,8.8934,8.11491,7.12993,6.09469,5.133,4.20145,3.50256,3.03804,2.75406,6266.88,2,1.0,3.378122812591755e-07,0.3206879377365113
0.120892,55.3409,0.18296,-1.01527,-0.638198,56.0055,45.5684,36.0509,27.0221,19.8383,15.4697,12.579,10.7855,9.76088,9.29657,8.86242,8.07797,7.08688,6.04737,5.0842,4.15395,3.4579,2.99614,2.71413,6156.29,2,1.0,4.725558426343923e-07,0.31196436882019046
0.118183,54.241,0.317052,-0.992497,-0.644025,56.2863,45.8415,36.2046,27.1357,19.9037,15.497,12.5787,10.7686,9.73505,9.26702,8.82954,8.03986,7.04351,6.00061,5.03665,4.10817,3.41522,2.95631,2.67632,6048.42,2,1.0,6.452478203300415e-07,0.29968583583831787
0.115679,53.1674,0.463806,-0.973444,-0.649481,56.5455,46.1145,36.3485,27.2419,19.9646,15.522,12.5775,10.7517,9.70981,9.23826,8.79767,8.00306,7.00187,5.95592,4.99139,4.06476,3.37489,2.91877,2.64072,5944.19,2,1.0,9.414110195393732e-07,0.2839312314987183
0.113208,52.1347,0.621323,-0.957668,-0.654561,56.7962,46.4012,36.4938,27.3515,20.0304,15.5527,12.5821,10.7405,9.69011,9.21496,8.77118,7.97138,6.96507,5.9157,4.95017,4.02487,3.33766,2.88402,2.60773,7972.47,1,1.0,0.0002859203959815204,0.15303531885147095
0.110464,51.2451,0.834844,-0.941931,-0.659253,57.0613,46.7293,36.661,27.484,20.1185,15.6037,12.6048,10.7452,9.68501,9.20561,8.758,7.95178,6.93875,5.88422,4.9161,3.99061,3.3049,2.85302,2.57805,7959.09,1,1.0,0.0005796174926217645,0.12483096122741699
0.106526,50.4939,1.11562,-0.928467,-0.66348,57.4061,47.1879,36.9127,27.6996,20.2823,15.7207,12.6834,10.798,9.72283,9.2367,8.78294,7.96594,6.94049,5.87494,4.89892,3.96848,3.28096,2.82883,2.55399,7696.67,1,1.0,0.0007954783970490097,0.09618273377418518
0.100611,49.805,1.41429,-0.920621,-0.667142,57.8816,47.8668,37.3027,28.0509,20.5699,15.9454,12.8533,10.9286,9.83005,9.33313,8.86926,8.03419,6.98685,5.90041,4.90778,3.96458,3.27,2.8144,2.53785,7607.9,1,1.0,0.0020004810998216272,0.06580125689506532
0.0924968,49.2417,1.7104,-0.92016,-0.67016,58.4963,48.8018,37.8476,28.5553,20.9991,16.295,13.13,11.1509,10.0191,9.50661,9.02805,8.16629,7.08576,5.96672,4.94701,3.98181,3.27397,2.81117,2.53074,7541.11,1,1.0,0.007912405859678983,0.042840775847435
0.0822726,48.799,1.98,-0.9285,-0.672448,59.2346,49.8948,38.5424,29.2104,21.5708,16.773,13.5183,11.4704,10.2953,9.76242,9.26442,8.36701,7.24136,6.07696,5.01891,4.02171,3.29398,2.81999,2.53342,7492.5,1,1.0,0.05337768197059631,0.02002091556787491
0.0702248,48.5009,2.21042,-0.944919,-0.673972,60.0705,51.0841,39.3679,29.9999,22.2731,17.3722,14.0148,11.8858,10.6582,10.1004,9.57854,8.6368,7.45427,6.23164,5.12376,4.08439,3.33007,2.84094,2.54596,7507.22,1,1.0,0.33662552833557124,0.007170961797237397
0.0567359,48.6536,2.26506,-0.967538,-0.674795,24.421,52.323,40.3018,30.8989,23.0855,18.0775,14.609,12.3896,11.1022,10.5156,9.96594,8.97217,7.72188,6.42873,5.25981,4.16841,3.38106,2.87304,2.56757,8116.58,1,1.0,1.0,0.0014682825654745103
0.0415021,49.162,2.03837,-0.994446,-0.675064,21.7273,53.6339,41.4387,31.9264,24.0275,18.9079,15.3195,12.9995,11.6438,11.0238,10.4416,9.38649,8.05511,6.67621,5.43209,4.27632,3.44808,2.9167,2.59827,10568.2,1,0.7130130171775818,1.0,0.0008734540082514287
0.0230855,49.8585,1.41294,-1.0234,-0.675011,19.9951,55.1103,42.9587,33.1778,25.1901,19.9475,16.2224,13.7832,12.3453,11.6842,11.0616,9.92924,8.49429,7.00382,5.66048,4.41961,3.53747,2.97549,2.64019,12762.8,1,0.5881348371505738,1.0,0.0015511802397668363
0.00303364,50.6794,0.506784,-1.05349,-0.674842,18.6857,56.6229,44.8203,34.5486,26.479,21.1163,17.2521,14.6876,13.161,12.455,11.7878,10.5683,9.01415,7.39279,5.9312,4.58844,3.64222,3.0442,2.68923,9549.77,2,0.28364832401275636,1.0,0.0014835606329143048
-0.0153753,51.4907,-0.452082,-1.08542,-0.674606,17.7515,57.9478,46.7725,35.816,27.683,22.2214,18.2389,15.5647,13.9577,13.2108,12.5023,11.2012,9.53202,7.78183,6.20172,4.75607,3.74553,3.11171,2.73737,9554.93,2,0.01106791589409113,1.0,0.0027790075168013574
-0.0257584,51.8812,-0.990631,-1.11918,-0.674361,17.2975,58.6903,47.949,36.5406,28.3748,22.8608,18.8148,16.0807,14.429,13.6589,12.9272,11.5795,9.84347,8.01676,6.3653,4.85716,3.80774,3.15239,2.76648,6035.79,2,-0.1570533961057663,0.282511493563652,0.001988205872476101
-0.0254557,52.1635,-1.24041,-1.15252,-0.67417,17.303,58.7222,48.0691,36.5403,28.3703,22.8544,18.8079,16.074,14.4227,13.6528,12.9214,11.5744,9.83941,8.01404,6.36392,4.85682,3.80806,3.15304,2.76727,6130.38,2,-0.1666469469666481,0.24397783875465393,0.0025208745151758197
-0.0167738,52.3225,-1.21905,-1.16973,-0.674303,17.6694,58.2055,47.3989,35.9692,27.8165,22.3374,18.339,15.6522,14.0362,13.2849,12.5723,11.2631,9.58246,7.81992,6.2287,4.77322,3.75678,3.11966,2.7435,6105.45,2,-0.02528963517397642,0.2423592686653137,0.002313436008989811
