angle,speed,speedY,speedZ,trackPos,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,rpm,gear,steer,accel,brake
0.323869,77.6995,0.298,4.14268,-0.55041,134.871,63.6148,26.2624,16.7522,12.2577,9.88857,8.43131,7.54787,7.04213,6.81116,6.59356,6.195,5.67731,5.10942,4.55087,3.97173,3.50774,3.18612,2.98779,6859.22,3,1.0,2.6198526657819374e-19,0.573118257522583
0.33583,76.0515,0.28608,4.156,-0.575456,133.202,60.3262,24.8947,15.8698,11.499,9.23702,7.8617,7.03365,6.56136,6.34608,6.14346,5.77287,5.29235,4.76623,4.24952,3.71437,3.28608,2.98969,2.80742,6574.38,3,1.0,1.3024542682461093e-19,0.5458052635192872
0.347321,74.3574,0.274985,4.15542,-0.600829,131.63,57.17,23.5667,14.9944,10.7522,8.59891,7.30521,6.53165,6.09209,5.89209,5.70406,5.36057,4.91602,4.43011,3.95361,3.46069,3.06663,2.79437,2.62745,6414.57,3,1.0,8.504767327889059e-20,0.5191742897033692
0.358377,72.6812,0.263011,4.14346,-0.626423,130.137,54.1217,22.2749,14.1248,10.0166,7.97393,6.76163,6.04176,5.63421,5.44911,5.27526,4.9581,4.54833,4.10121,3.6634,3.21101,2.84977,2.60062,2.44833,6279.23,3,1.0,5.902755552052606e-20,0.4926000595092774
0.369022,71.0315,0.249887,4.12579,-0.652194,128.712,51.1648,21.016,13.2587,9.29104,7.36114,6.23014,5.56322,5.18704,5.01648,4.85645,4.56489,4.1888,3.77917,3.37861,2.96521,2.63549,2.40848,2.27015,6156.72,3,1.0,4.250038606907941e-20,0.4662557125091553
0.379281,69.4138,0.236156,4.10612,-0.678068,127.347,48.286,19.7878,12.3948,8.57501,6.76024,5.71051,5.09587,4.75043,4.59408,4.44752,4.18083,3.83743,3.464,3.09936,2.72346,2.42401,2.21821,2.09322,6042.98,3,1.0,3.1419215766260203e-20,0.44033160209655764
0.389179,67.8343,0.22264,4.08568,-0.704022,126.031,45.4719,18.5875,11.5305,7.86713,6.17025,5.20189,4.63888,4.32362,4.18117,4.04777,3.80533,3.49365,3.15527,2.8253,2.48554,2.21521,2.02977,1.91751,5933.07,3,1.0,2.355130286991139e-20,0.41492776870727544
0.398737,66.3032,0.20985,4.06457,-0.730017,124.758,42.7135,17.4131,10.6636,7.16655,5.59066,4.70381,4.19189,3.90625,3.77741,3.65687,3.43806,3.15721,2.85279,2.55633,2.25143,2.00913,1.84323,1.74313,7462.66,2,1.0,1.6842164895188091e-18,0.3045610666275025
0.407948,64.8808,0.203849,4.04345,-0.756004,123.539,40.0183,16.2653,9.79273,6.47322,5.02148,4.21629,3.75486,3.49832,3.38278,3.2748,3.07902,2.82812,2.5566,2.29251,2.02122,1.8059,1.65876,1.57028,7451.44,2,1.0,1.6175834309034521e-18,0.2679193735122681
0.416678,63.5467,0.213835,4.02157,-0.781996,122.453,37.441,15.1513,8.91902,5.78822,4.46332,3.73958,3.32786,3.09978,2.99725,2.9015,2.72811,2.50626,2.26653,2.03369,1.79477,1.60539,1.47623,1.39883,7147.44,2,1.0,8.398156619929256e-19,0.2368659257888794
0.424284,62.5147,0.222107,3.83904,-0.807962,121.839,35.215,14.1067,8.05939,5.12108,3.92225,3.27791,2.91422,2.71352,2.62345,2.53943,2.38747,2.19336,1.98399,1.78094,1.57288,1.40819,1.29609,1.22913,7040.01,2,1.0,5.571802682771065e-19,0.21350202560424805
0.430203,61.5982,0.228649,3.63449,-0.833934,122.016,33.5116,13.1516,7.22178,4.47442,3.3991,2.8315,2.51386,2.33934,2.26118,2.18834,2.05681,1.88913,1.70865,1.53395,1.35523,1.21401,1.11806,1.0609,6941.98,2,1.0,3.5008325108393486e-19,0.19991494417190553
0.434208,60.7731,0.254957,3.45418,-0.859818,123.152,32.3941,12.285,6.40209,3.84453,2.89128,2.39837,2.12527,1.97595,1.90923,1.84714,1.73522,1.59287,1.44004,1.29246,1.1418,1.02297,0.94239,0.894493,6824.67,2,1.0,2.0164649666239129e-19,0.19483515024185183
0.436172,59.9372,0.329002,3.34801,-0.885474,125.424,31.963,11.4906,5.59024,3.22531,2.39506,1.97608,1.74659,1.62185,1.56626,1.51462,1.42171,1.3039,1.17779,1.05636,0.932722,0.835415,0.769547,0.730461,6677.76,2,1.0,1.044194638656491e-19,0.19823068380355835
0.435571,59.156,0.466957,3.29678,-0.910728,129.337,32.6469,10.778,4.78189,2.61355,1.90894,1.56382,1.37743,1.27682,1.23214,1.19071,1.11637,1.02243,0.922274,0.826172,0.728632,0.652077,0.60033,0.569656,6424.8,2,1.0,4.208672144579474e-20,0.21306436061859133
0.431758,58.4037,0.67356,3.32301,-0.935403,135.723,35.4948,10.1901,3.96257,2.00096,1.42875,1.15915,1.01612,0.939607,0.905777,0.874481,0.818512,0.748102,0.673399,0.602053,0.529943,0.473518,0.435452,0.412876,6164.96,2,1.0,1.7663149188245363e-20,0.24512767791748047
0.424548,57.6682,0.852219,3.39681,-0.959268,144.928,43.313,9.76056,3.07739,1.36656,0.94498,0.756603,0.658969,0.607325,0.584621,0.563681,0.526386,0.47975,0.430578,0.383892,0.336956,0.300375,0.275726,0.261101,5875.49,2,1.0,8.865848548154003e-21,0.3028970956802368
0.414078,56.9322,0.798707,3.35403,-0.982261,156.623,69.5874,9.5179,1.94673,0.665614,0.438933,0.345115,0.29799,0.273438,0.262718,0.252869,0.23543,0.213779,0.191128,0.169779,0.148464,0.131927,0.120808,0.114193,7838.3,1,1.0,1.8599316132703353e-18,0.31088497638702395
0.398646,56.2629,0.117275,2.99019,-1.00465,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7824.48,1,1.0,1.3025910467376572e-15,0.0048896756023168566
0.380067,55.7435,-0.789549,2.50643,-1.02673,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7142.51,1,1.0,5.211323536466689e-15,0.008060570806264877
0.360961,55.4408,-1.6201,2.01277,-1.04846,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7129.04,1,1.0,8.408548380148261e-14,0.011163544654846192
0.342849,55.2024,-2.37599,1.52402,-1.06988,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7028.23,1,1.0,6.79122957956274e-13,0.01488586962223053
