angle,speed,speedY,speedZ,trackPos,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,rpm,gear,steer,accel,brake
0.190586,62.2356,0.76289,-1.12933,-0.558687,50.3059,41.0935,32.1914,23.8363,17.5518,13.9216,11.5866,10.1495,9.32609,8.95102,8.59862,7.95669,7.13258,6.24605,5.39702,4.54442,3.88183,3.43028,3.15088,7014.74,2,1.0,5.221975563074466e-09,0.23822681903839113
0.180928,61.403,0.692454,-1.11908,-0.568639,51.3045,41.69,32.7312,24.2718,17.8584,14.1296,11.724,10.2425,9.39417,9.00809,8.64557,7.98586,7.14052,6.23385,5.36881,4.50412,3.83506,3.38046,3.09952,6875.82,2,1.0,8.343006552280484e-09,0.25365686416625977
0.17089,60.5091,0.58611,-1.11047,-0.577983,52.2794,42.3167,33.3044,24.7442,18.2011,14.3696,11.8885,10.3589,9.48322,9.0849,8.71119,8.03173,7.16268,6.23329,5.34998,4.47112,3.79421,3.33572,3.05277,6756.36,2,1.0,1.4585013197176975e-08,0.2668107032775879
0.160827,59.5746,0.473609,-1.10115,-0.586723,53.2084,42.9883,33.8918,25.2364,18.5666,14.6315,12.0722,10.4921,9.58748,9.17621,8.79047,8.0899,7.1954,6.24149,5.33833,4.44392,3.75827,3.29537,3.01011,6635.68,2,1.0,2.5071914322438715e-08,0.28048365116119384
0.150926,58.6049,0.36975,-1.08971,-0.59488,54.0846,43.7086,34.4809,25.7366,18.9452,14.9075,12.2692,10.6373,9.70282,9.27806,8.87981,8.15712,7.23597,6.25631,5.33227,4.42139,3.72641,3.25879,2.97108,6511.69,2,1.0,4.885267514964653e-08,0.29271104335784914
0.141336,57.603,0.283921,-1.07516,-0.602454,54.9043,44.469,35.061,26.2352,19.3286,15.1913,12.4744,10.7906,9.82573,9.38725,8.97622,8.23082,7.28232,6.2762,5.33066,4.40279,3.69818,3.22568,2.93543,6387.49,2,1.0,9.591122136498597e-08,0.30305955410003665
0.132218,56.5733,0.227377,-1.05477,-0.609465,55.66,45.2572,35.6206,26.7208,19.707,15.4748,12.6817,10.9465,9.95159,9.49944,9.07571,8.30762,7.33161,6.29896,5.33188,4.38706,3.6728,3.19547,2.90274,6265.06,2,1.0,1.9102731130260509e-07,0.3100908756256104
0.123682,55.5239,0.199735,-1.03449,-0.615949,56.3486,46.0622,36.1509,27.1846,20.0722,15.7511,12.8854,11.1004,10.0763,9.61084,9.17465,8.38435,7.38131,6.32265,5.3345,4.37318,3.64959,3.16763,2.87256,6143.7,2,1.0,3.837231133729801e-07,0.31286714076995853
0.115786,54.4622,0.204055,-1.01541,-0.62185,56.9735,46.8759,36.6475,27.6221,20.4203,16.0169,13.083,11.2505,10.1984,9.72016,9.272,8.46026,7.43103,6.34713,5.33861,4.36139,3.6289,3.14249,2.84522,6026.75,2,1.0,7.096169383657979e-07,0.311670994758606
0.108559,53.3964,0.244037,-0.997289,-0.627253,57.5364,47.6902,37.1069,28.0289,20.7466,16.2678,13.2704,11.3934,10.3148,9.82442,9.36489,8.53276,7.4786,6.37064,5.34283,4.35066,3.60984,3.11935,2.82006,5915.48,2,1.0,1.2985313105673412e-06,0.30696156024932864
