angle,speed,speedY,speedZ,trackPos,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,rpm,gear,steer,accel,brake
0.183559,60.6373,0.450327,2.74615,-0.554944,20.5265,27.7733,48.002,122.234,41.2108,19.1724,13.4777,11.0504,9.87905,9.38581,8.94207,8.17653,7.26092,6.34108,5.47932,4.61154,3.936,3.47508,3.18956,6846.0,2,1.0,3.412190601181919e-08,0.1426049828529358
0.172498,59.9554,0.377914,2.656,-0.564503,19.9455,26.5398,43.9258,133.533,54.1344,21.0917,14.2219,11.4584,10.1577,9.61625,9.13222,8.30397,7.32451,6.35285,5.46855,4.58397,3.8985,3.43231,3.1439,6766.12,2,1.0,8.5362330537464e-08,0.15100330114364624
0.160967,59.2704,0.297067,2.56278,-0.573406,19.3875,25.4014,40.4792,145.935,79.7615,23.7712,15.1907,11.9836,10.5188,9.91711,9.38324,8.4783,7.42186,6.38814,5.46972,4.56555,3.86822,3.39558,3.10364,6678.16,2,1.0,1.694144032171607e-07,0.16146395206451417
0.149061,58.5683,0.208713,2.46881,-0.581657,18.8546,24.3526,37.5375,158.866,92.1248,27.6691,16.4603,12.6546,10.9787,10.3011,9.70518,8.70592,7.55645,6.44903,5.48266,4.55608,3.84499,3.36478,3.06866,6586.03,2,1.0,3.716030789746583e-07,0.17381360530853274
0.136888,57.8396,0.120261,2.38081,-0.58925,18.3484,23.3881,35.0073,72.3687,100.481,33.7124,18.1478,13.511,11.5591,10.7849,10.1108,8.99475,7.73245,6.53748,5.51111,4.55537,3.82869,3.33981,3.03888,6491.79,2,1.0,1.541055826237425e-06,0.1423811912536621
0.12457,57.1204,0.0618253,2.30057,-0.596158,17.8697,22.5026,32.8179,62.8532,108.555,44.0908,20.4411,14.6088,12.2893,11.3901,10.6166,9.35472,7.95497,6.65591,5.55964,4.5634,3.81932,3.3207,3.01438,6437.03,2,1.0,5.0885256769106485e-06,0.13547389507293703
0.111948,56.4387,0.0264848,2.21612,-0.602367,17.4112,21.6782,30.8854,55.5682,118.364,66.0201,23.7252,16.0582,13.2279,12.1615,11.2574,9.80826,8.23699,6.8116,5.63239,4.58181,3.81798,3.30822,2.99574,6365.2,2,1.0,1.2498541946115437e-05,0.1203113079071045
0.0988829,55.7911,0.00403156,2.12868,-0.607875,16.9677,20.9018,29.1526,49.7658,130.569,87.603,28.783,18.0419,14.4645,13.1651,12.0833,10.3861,8.59534,7.01346,5.73418,4.61586,3.8257,3.30307,2.98344,6303.96,2,1.0,2.8657341681537217e-05,0.05997984409332276
0.0852415,55.2314,0.0109292,2.03974,-0.612661,16.5352,20.1637,27.5778,44.9998,144.272,97.2994,37.5067,20.8926,16.1474,14.5064,13.1719,11.1337,9.05364,7.27343,5.87123,4.6716,3.84376,3.30612,2.97815,6294.24,2,1.0,6.116870572441258e-05,0.0330627590417862
0.0708038,54.7892,0.0393173,1.94816,-0.616668,16.1082,19.4528,26.1237,40.9712,158.827,106.052,56.0683,25.3136,18.5549,16.3759,14.6589,12.1272,9.65005,7.61046,6.05339,4.75405,3.87492,3.31894,2.98107,6270.03,2,1.0,0.00019908807589672504,0.014261047542095185
