angle,speed,speedY,speedZ,trackPos,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,rpm,gear,steer,accel,brake
0.34039,76.7662,-3.41618,-0.775863,-0.559621,23.831,19.893,15.6623,12.0051,9.44972,8.00961,7.06763,6.46853,6.11427,5.94951,5.79247,5.50012,5.11071,4.6702,4.22251,3.74262,3.34661,3.06652,2.89203,6884.81,3,1.0,7.005002914534097e-13,0.12157204151153565
0.333403,76.0022,-3.89158,-0.760678,-0.588952,23.9241,19.9087,15.5787,11.8293,9.21845,7.75791,6.80955,6.2101,5.8572,5.69348,5.5377,5.24837,4.86445,4.43221,3.99525,3.52947,3.14703,2.87739,2.70955,6806.09,3,1.0,1.415818764310961e-12,0.1426301121711731
0.325869,75.1983,-4.37114,-0.745908,-0.617959,24.046,19.9462,15.5118,11.6623,8.9897,7.50604,6.5503,5.95025,5.59869,5.43604,5.28157,4.99541,4.61725,4.19371,3.76799,3.3169,2.94849,2.68963,2.52867,6708.6,3,1.0,2.443135364155191e-12,0.16673309803009034
0.317959,74.3347,-4.85303,-0.731703,-0.646606,24.2075,20.0012,15.4581,11.5009,8.76024,7.2511,6.28734,5.68673,5.3367,5.17527,5.02224,4.73958,4.36772,3.95358,3.53989,3.10436,2.7507,2.50311,2.34932,6599.0,3,1.0,3.916066602938084e-12,0.18877427577972414
0.30987,73.4051,-5.32873,-0.718057,-0.674868,24.4069,20.0682,15.4125,11.3405,8.5259,6.98934,6.01746,5.41676,5.06873,4.90877,4.75747,4.47889,4.11418,3.71052,3.30999,2.89122,2.55325,2.31756,2.17136,6482.52,3,1.0,6.3263470850838385e-12,0.20884106159210206
0.301788,72.4118,-5.78613,-0.704463,-0.702718,24.641,20.1416,15.3699,11.1763,8.28229,6.71695,5.73742,5.13759,4.79234,4.63427,4.48512,4.21143,3.85509,3.46334,3.07744,2.67695,2.35584,2.13285,1.99474,6360.75,3,1.0,1.1304294306180296e-11,0.22791838645935059
0.293884,71.3596,-6.21304,-0.690278,-0.730133,24.906,20.2154,15.3252,11.0034,8.02473,6.42985,5.44392,4.84648,4.50516,4.34954,4.20311,3.93546,3.58906,3.21104,2.84157,2.46118,2.15829,1.94888,1.81941,6233.65,3,1.0,1.984412044409023e-11,0.2475372076034546
0.286329,70.2526,-6.59918,-0.675422,-0.757096,25.1966,20.2835,15.2723,10.8162,7.74781,6.12345,5.13326,4.54045,4.20462,4.05224,3.9093,3.64916,3.31468,2.95262,2.60175,2.24355,1.9604,1.76557,1.64535,6100.34,3,1.0,3.391066802360676e-11,0.2677706003189087
0.279306,69.0941,-6.93462,-0.659512,-0.783595,25.5044,20.3384,15.2044,10.6076,7.44493,5.7923,4.80126,4.21621,3.88798,3.73988,3.60142,3.35065,3.03059,2.68718,2.35743,2.02378,1.76206,1.58287,1.47253,5961.03,3,1.0,5.6275671622696415e-11,0.2871866226196289
0.273021,67.8915,-7.20833,-0.642746,-0.809614,25.8169,20.3715,15.1125,10.3689,7.10792,5.42985,4.4431,3.87019,3.55237,3.40987,3.27716,3.03813,2.73552,2.41396,2.10821,1.80174,1.56326,1.4008,1.30102,7485.97,2,1.0,4.715574730695948e-09,0.23987548351287843
