time,steer,accel,brake,gear,speedX,trackPos,angle,rpm,damage
0.018593311309814453,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.040463924407958984,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.05961346626281738,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.07858681678771973,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.09962010383605957,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.11780214309692383,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.13884949684143066,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.16025257110595703,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.1785292625427246,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.19849371910095215,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.21985983848571777,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.23846054077148438,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.2604231834411621,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.27826380729675293,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.299468994140625,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.3177168369293213,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.3389878273010254,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.3592240810394287,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.3785090446472168,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.39894890785217285,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.4196438789367676,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.4389052391052246,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.45922112464904785,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.47992897033691406,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.49898242950439453,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.5191853046417236,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.5389871597290039,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.5593352317810059,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.5804243087768555,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.5983688831329346,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.6200661659240723,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.640270471572876,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.6586003303527832,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.6787753105163574,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.70046067237854,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.7183616161346436,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.7404334545135498,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.7587845325469971,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.7799148559570312,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.7979912757873535,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.8194622993469238,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.8377351760864258,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.8594884872436523,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.8802680969238281,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.8986282348632812,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.9195919036865234,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.9412996768951416,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
0.9590070247650146,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0
1.0010972023010254,0.0,0.0,0.0,1,-0.0164475,0.33345,0.00871628,5235.99,0.0
1.0187208652496338,0.0,0.0,0.0,1,-0.0265772,0.333457,0.0087263,5235.99,0.0
1.0389525890350342,0.0,0.0,0.0,1,-0.0357499,0.333452,0.00887459,5235.99,0.0
1.0589978694915771,0.0,0.0,0.0,1,-0.0434661,0.33344,0.00883454,5235.99,0.0
1.0792791843414307,0.0,0.0,0.0,1,-0.0493377,0.333427,0.00895184,5235.99,0.0
1.0996310710906982,0.0,0.0,0.0,1,-0.0538456,0.333415,0.00889414,5235.99,0.0
1.1187705993652344,0.0,0.0,0.0,1,-0.056444,0.333399,0.00904101,5235.99,0.0
1.1380884647369385,0.0,0.0,0.0,1,-0.0567184,0.333377,0.00908869,5235.99,0.0
1.159106731414795,0.0,0.0,0.0,1,-0.0569943,0.33335,0.00932616,5235.99,0.0
1.1798009872436523,0.0,0.0,0.0,1,-0.0578846,0.333323,0.00937956,5235.99,0.0
1.2014946937561035,0.0,0.0,0.0,1,-0.0584987,0.333296,0.00960654,5235.99,0.0
1.219663381576538,0.0,0.0,0.0,1,-0.0592272,0.333269,0.00966376,5235.99,0.0
1.2413229942321777,0.0,0.0,0.0,1,-0.0598389,0.333241,0.00986689,5235.99,0.0
1.260483980178833,0.0,0.0,0.0,1,-0.059806,0.333216,0.0100166,5235.99,0.0
1.2811124324798584,0.0,0.0,0.0,1,-0.0606339,0.333191,0.0101616,5235.99,0.0
1.3001563549041748,0.0,0.0,0.0,1,-0.0604135,0.333167,0.0103132,5235.99,0.0
1.3198306560516357,0.0,0.0,0.0,1,-0.0610653,0.333143,0.0104591,5235.99,0.0
1.3424131870269775,0.0,0.0,0.0,1,-0.0607774,0.333122,0.0106098,5235.99,0.0
1.3624730110168457,0.0,0.0,0.0,1,-0.0613722,0.333101,0.0107543,5235.99,0.0
1.379995346069336,0.0,0.0,0.0,1,-0.0608781,0.333081,0.0109035,5235.99,0.0
1.4020824432373047,0.0,0.0,0.0,1,-0.061309,0.333062,0.0110447,5235.99,0.0
1.4223906993865967,0.0,0.0,0.0,1,-0.0608765,0.333043,0.0111887,5235.99,0.0
1.441150426864624,0.0,0.0,0.0,1,-0.0611743,0.333024,0.0113255,5235.99,0.0
1.4614732265472412,0.0,0.0,0.0,1,-0.0606489,0.333007,0.0114648,5235.99,0.0
1.483055830001831,0.0,0.0,0.0,1,-0.0606509,0.332988,0.0115668,5235.99,0.0
1.502305507659912,0.0,0.0,0.0,1,-0.0603019,0.33297,0.0117843,5235.99,0.0
1.523789882659912,0.0,0.0,0.0,1,-0.0603086,0.332954,0.0118234,5235.99,0.0
1.542572021484375,0.0,0.1999969482421875,0.0,1,-0.0599857,0.33294,0.0120332,5235.99,0.0
1.5656251907348633,0.0,0.58038330078125,0.0,1,0.211286,0.332942,0.0119731,5235.99,0.0
1.584040641784668,0.0,0.815673828125,0.0,1,0.613369,0.332946,0.0120775,5235.99,0.0
1.6047906875610352,0.0,0.9999847412109375,0.0,1,1.41012,0.332937,0.012027,5235.99,0.0
