lap,time_raw,time_seconds,best_raw,best_seconds,top_spd_kmh,min_spd_kmh,damages
1,02:03:80,123.80,02:03:80,123.80,201,51,0
2,02:01:22,121.22,02:01:22,121.22,201,52,0
